iter	Passed	Remaining
435	1518	1963
436	1520	1959
437	1524	1955
438	1529	1953
439	1532	1950
440	1534	1945
441	1537	1941
442	1540	1936
443	1544	1933
444	1547	1930
445	1550	1925
446	1553	1921
447	1556	1918
448	1561	1916
449	1564	1911
450	1567	1907
451	1571	1905
452	1576	1903
453	1579	1899
454	1582	1895
455	1586	1892
456	1589	1888
457	1593	1886
458	1597	1882
459	1599	1878
460	1603	1875
461	1607	1872
462	1611	1869
463	1614	1864
464	1618	1862
465	1623	1859
466	1625	1855
467	1631	1854
468	1634	1850
469	1638	1847
470	1643	1845
471	1647	1842
472	1651	1839
473	1655	1836
474	1659	1834
475	1664	1832
476	1668	1829
477	1674	1828
478	1678	1825
479	1681	1821
480	1684	1817
481	1689	1815
482	1691	1810
483	1694	1806
484	1696	1801
485	1699	1797
486	1703	1794
487	1708	1792
488	1711	1788
489	1713	1783
490	1717	1780
491	1721	1777
492	1725	1774
493	1727	1769
494	1731	1766
495	1736	1764
496	1739	1760
497	1742	1756
498	1744	1751
499	1747	1747
500	1751	1744
501	1755	1741
502	1758	1737
503	1762	1734
504	1767	1732
505	1771	1729
506	1774	1725
507	1776	1721
508	1780	1717
509	1785	1715
510	1788	1711
511	1792	1708
512	1795	1704
513	1800	1701
514	1804	1699
515	1807	1695
516	1810	1691
517	1814	1688
518	1818	1685
519	1821	1681
520	1824	1677
521	1827	1673
522	1830	1669
523	1833	1665
524	1837	1662
525	1840	1658
526	1842	1654
527	1846	1650
528	1849	1646
529	1851	1642
530	1856	1639
531	1861	1637
532	1864	1634
533	1870	1632
534	1875	1630
535	1881	1628
536	1885	1625
537	1887	1621
538	1890	1616
539	1893	1613
540	1896	1609
541	1900	1605
542	1902	1601
543	1905	1597
544	1908	1593
545	1913	1591
546	1918	1588
547	1922	1585
548	1926	1582
549	1930	1579
550	1932	1574
551	1934	1570
552	1937	1566
553	1940	1562
554	1944	1558
555	1946	1554
556	1948	1549
557	1950	1544
558	1952	1540
559	1955	1536
560	1959	1533
561	1963	1530
562	1967	1527
563	1969	1522
564	1973	1519
565	1976	1515
566	1977	1510
567	1980	1506
568	1982	1501
569	1984	1496
570	1986	1492
571	1990	1489
572	1993	1485
573	1996	1481
574	1998	1477
575	2000	1472
576	2003	1468
577	2007	1465
578	2009	1461
579	2013	1457
580	2015	1453
581	2018	1449
582	2022	1446
583	2024	1442
584	2027	1438
585	2029	1433
586	2032	1429
587	2034	1425
588	2038	1422
589	2041	1418
590	2043	1414
591	2046	1410
592	2048	1406
593	2051	1402
594	2054	1398
595	2057	1394
596	2060	1390
597	2062	1386
598	2065	1382
599	2069	1379
600	2072	1375
601	2074	1371
602	2077	1367
603	2080	1364
604	2083	1360
605	2086	1356
606	2089	1352
607	2092	1348
608	2095	1345
609	2099	1342
610	2103	1338
611	2105	1334
612	2108	1331
613	2111	1327
614	2115	1324
615	2118	1320
616	2121	1316
617	2123	1312
618	2125	1308
619	2128	1304
620	2130	1300
621	2134	1296
622	2136	1292
623	2138	1288
624	2142	1285
625	2144	1281
626	2148	1277
627	2150	1274
628	2153	1270
629	2156	1266
630	2159	1262
631	2161	1258
632	2165	1255
633	2168	1251
634	2173	1249
635	2176	1245
636	2180	1242
637	2182	1238
638	2185	1234
639	2188	1231
640	2192	1227
641	2195	1224
642	2198	1220
643	2201	1216
644	2204	1213
645	2206	1209
646	2209	1205
647	2213	1202
648	2217	1199
649	2219	1195
650	2222	1191
651	2224	1187
652	2229	1184
653	2233	1181
654	2236	1177
655	2239	1174
656	2241	1170
657	2245	1167
658	2250	1164
659	2254	1161
660	2256	1157
661	2261	1154
662	2264	1150
663	2266	1147
664	2269	1143
665	2271	1139
666	2274	1135
667	2277	1132
668	2281	1128
669	2283	1124
670	2285	1120
671	2288	1116
672	2290	1112
673	2293	1109
674	2296	1105
675	2298	1101
676	2301	1098
677	2304	1094
678	2306	1090
679	2310	1087
680	2312	1083
681	2315	1079
682	2318	1076
683	2322	1072
684	2326	1069
685	2329	1066
686	2332	1062
687	2334	1058
688	2337	1055
689	2341	1051
690	2344	1048
691	2346	1044
692	2349	1040
693	2352	1037
694	2355	1033
695	2359	1030
696	2363	1027
697	2366	1024
698	2369	1020
699	2374	1017
700	2379	1015
701	2382	1011
702	2386	1008
703	2390	1005
704	2392	1001
705	2396	997
706	2398	994
707	2401	990
708	2405	987
709	2408	983
710	2410	979
711	2413	976
712	2419	973
713	2423	970
714	2425	966
715	2429	963
716	2431	959
717	2434	956
718	2438	952
719	2440	949
720	2443	945
721	2445	941
722	2448	938
723	2452	934
724	2455	931
725	2458	927
726	2460	923
727	2463	920
728	2467	917
729	2470	913
730	2473	910
731	2476	906
732	2479	903
733	2481	899
734	2484	895
735	2488	892
736	2492	889
737	2495	885
738	2497	882
739	2501	878
740	2504	875
741	2506	871
742	2508	867
743	2511	864
744	2514	860
745	2518	857
746	2522	854
747	2524	850
748	2527	847
749	2530	843
750	2533	840
751	2536	836
752	2538	832
753	2540	828
754	2543	825
755	2546	821
756	2549	818
757	2552	814
758	2555	811
759	2557	807
760	2560	804
761	2564	800
762	2566	797
763	2569	793
764	2572	790
765	2575	786
766	2578	783
767	2581	779
768	2584	776
769	2587	772
770	2589	769
771	2591	765
772	2595	762
773	2598	758
774	2600	755
775	2603	751
776	2605	747
777	2608	744
778	2612	741
779	2615	737
780	2618	734
781	2623	731
782	2629	728
783	2633	725
784	2636	722
785	2638	718
786	2641	714
787	2645	711
788	2647	708
789	2650	704
790	2652	700
791	2654	697
792	2658	693
793	2661	690
794	2663	686
795	2666	683
796	2669	679
797	2671	676
798	2675	673
799	2678	669
800	2680	665
801	2683	662
802	2685	658
803	2688	655
804	2692	652
805	2695	648
806	2697	645
807	2700	641
808	2703	638
809	2706	634
810	2709	631
811	2712	628
812	2715	624
813	2718	621
814	2723	618
815	2726	614
816	2729	611
817	2731	607
818	2733	604
819	2737	600
820	2741	597
821	2744	594
822	2746	590
823	2749	587
824	2751	583
825	2754	580
826	2758	577
827	2761	573
828	2763	570
829	2766	566
830	2769	563
831	2772	559
832	2775	556
833	2778	552
834	2780	549
835	2783	546
836	2786	542
837	2789	539
838	2791	535
839	2796	532
840	2800	529
841	2804	526
842	2807	522
843	2809	519
844	2811	515
845	2815	512
846	2819	509
847	2825	506
848	2827	502
849	2830	499
850	2835	496
851	2838	493
852	2841	489
853	2843	486
854	2846	482
855	2848	479
856	2852	475
857	2854	472
858	2858	469
859	2860	465
860	2864	462
861	2868	459
862	2870	455
863	2873	452
864	2876	449
865	2879	445
866	2883	442
867	2885	438
868	2888	435
869	2890	431
870	2894	428
871	2896	425
872	2900	421
873	2903	418
874	2905	415
875	2910	412
876	2915	408
877	2917	405
878	2920	402
879	2923	398
880	2925	395
881	2928	391
882	2931	388
883	2934	385
884	2937	381
885	2940	378
886	2942	374
887	2946	371
888	2949	368
889	2951	364
890	2954	361
891	2960	358
892	2964	355
893	2967	351
894	2970	348
895	2973	345
896	2975	341
897	2979	338
898	2981	335
899	2984	331
900	2987	328
901	2989	324
902	2992	321
903	2995	318
904	2997	314
905	3000	311
906	3002	307
907	3005	304
908	3007	301
909	3011	297
910	3014	294
911	3016	291
912	3019	287
913	3021	284
914	3024	280
915	3028	277
916	3031	274
917	3033	270
918	3035	267
919	3038	264
920	3041	260
921	3044	257
922	3047	254
923	3049	250
924	3052	247
925	3057	244
926	3060	241
927	3063	237
928	3065	234
929	3068	230
930	3071	227
931	3075	224
932	3078	221
933	3080	217
934	3084	214
935	3087	211
936	3091	207
937	3093	204
938	3096	201
939	3099	197
940	3101	194
941	3105	191
942	3108	187
943	3110	184
944	3112	181
945	3115	177
946	3117	174
947	3121	171
948	3123	167
949	3126	164
950	3128	161
951	3131	157
952	3134	154
953	3137	151
954	3139	147
955	3141	144
956	3144	141
957	3147	137
958	3150	134
959	3154	131
960	3156	128
961	3159	124
962	3161	121
963	3163	118
964	3165	114
965	3169	111
966	3171	108
967	3173	104
968	3175	101
969	3177	98
970	3180	94
971	3182	91
972	3185	88
973	3187	85
974	3189	81
975	3191	78
976	3194	75
977	3196	71
978	3198	68
979	3201	65
980	3203	62
981	3205	58
982	3207	55
983	3210	52
984	3213	48
985	3215	45
986	3218	42
987	3221	39
988	3223	35
989	3226	32
990	3228	29
991	3230	26
992	3233	22
993	3236	19
994	3238	16
995	3240	13
996	3243	9
997	3246	6
998	3249	3
999	3252	0
2	74
981	3844	70
982	3847	66
983	3849	62
984	3853	58
985	3855	54
986	3858	50
987	3860	46
988	3862	42
989	3865	39
990	3868	35
991	3871	31
992	3873	27
993	3876	23
994	3878	19
995	3880	15
996	3884	11
997	3887	7
998	3890	3
999	3892	0

989	7261	73
990	7266	65
991	7269	58
992	7272	51
993	7274	43
994	7279	36
995	7283	29
996	7286	21
997	7289	14
998	7293	7
999	7296	0
1	0
