iter	Logloss
141	0.4535357157
142	0.4527411461
143	0.4521116892
144	0.4509882927
145	0.450222683
146	0.4495286306
147	0.4488009453
148	0.4477530162
149	0.4471748988
150	0.4464976947
151	0.445936807
152	0.4455031713
153	0.4447881063
154	0.4438825607
155	0.442815272
156	0.441888237
157	0.441320165
158	0.4404610316
159	0.4397514979
160	0.4389938037
161	0.4382835388
162	0.4375219981
163	0.4366614978
164	0.4360791842
165	0.4351067543
166	0.434354051
167	0.4336947759
168	0.4331736565
169	0.4326561292
170	0.4319124858
171	0.4312391281
172	0.430512015
173	0.4298927307
174	0.4293140411
175	0.4288209915
176	0.4283080419
177	0.4273167928
178	0.426599884
179	0.4259707769
180	0.4254208883
181	0.4245363871
182	0.4236667951
183	0.4229974111
184	0.4225495021
185	0.4218765577
186	0.4208438238
187	0.4199877421
188	0.4190067927
189	0.418432045
190	0.4182949066
191	0.4176131884
192	0.4168108622
193	0.4162991206
194	0.4155843735
195	0.4148088455
196	0.4143461545
197	0.4137803396
198	0.4133165995
199	0.4127881368
200	0.4123147964
201	0.4116913478
202	0.4111088435
203	0.4104192734
204	0.4096971512
205	0.4091995875
206	0.4085581144
207	0.4081105232
208	0.4078234355
209	0.4072585106
210	0.4069887797
211	0.4065495809
212	0.4060055415
213	0.405545489
214	0.4050738653
215	0.4045646985
216	0.4036649068
217	0.4029314041
218	0.4023586591
219	0.40197951
220	0.4013643265
221	0.4010196686
222	0.4005436579
223	0.4001508713
224	0.3995779355
225	0.399062411
226	0.3985123316
227	0.3978285472
228	0.3970972061
229	0.3967702866
230	0.3961421331
231	0.3956144969
232	0.3948813756
233	0.3944903056
234	0.3940069516
235	0.3930981636
236	0.3926196416
237	0.3921435674
238	0.3917780558
239	0.3909393311
240	0.3904020309
241	0.3899885178
242	0.3895204544
243	0.3889350255
244	0.3885520935
245	0.3879969279
246	0.3876741091
247	0.3869030952
248	0.3862194379
249	0.385532252
250	0.3847519557
251	0.3844579697
252	0.3840425491
253	0.3833993276
254	0.3829583486
255	0.3826204618
256	0.3820527395
257	0.3817201614
258	0.3809500376
259	0.3805378596
260	0.3800623258
261	0.3796074867
262	0.379049015
263	0.3786758423
264	0.3782747587
265	0.3778021812
266	0.3775754293
267	0.3771464666
268	0.3766918182
269	0.3761425654
270	0.375885582
271	0.375655365
272	0.375110817
273	0.3747656504
274	0.3744149526
275	0.3741203944
276	0.3737141291
277	0.3732939402
278	0.372754097
279	0.3722444852
280	0.3718691826
281	0.3716246923
282	0.3710203807
283	0.3706703186
284	0.3702411334
285	0.3698742549
286	0.3695464452
287	0.3692309697
288	0.3689507167
289	0.3686018944
290	0.3683097839
291	0.3679997762
292	0.3673841476
293	0.3670910835
294	0.3668609619
295	0.3661694209
296	0.365659078
297	0.3653175036
298	0.3648760796
299	0.3644126574
300	0.3639902115
301	0.3638502757
302	0.3634153684
303	0.3630823135
304	0.3624728521
305	0.3619616826
306	0.361661911
307	0.3610792796
308	0.3605955124
309	0.3602601687
310	0.3596872012
311	0.3594355583
312	0.3591135343
313	0.3587897937
314	0.358517011
315	0.3578597387
316	0.3576175372
317	0.3571383794
318	0.3567819277
319	0.3563453674
320	0.3559607824
321	0.3555401802
322	0.3551438967
323	0.3546952566
324	0.3542409897
325	0.3539347331
326	0.3538367589
327	0.3535390854
328	0.3531950315
329	0.3529040655
330	0.3525230408
331	0.3521673203
332	0.3516377767
333	0.3511811256
334	0.3508815765
335	0.3506655375
336	0.350387001
337	0.3499255816
338	0.349481837
339	0.3492258072
340	0.3488659223
341	0.3486005147
342	0.3482905388
343	0.3478842417
344	0.3477594058
345	0.3473688444
346	0.3470797221
347	0.3467986743
348	0.346399339
349	0.3460559845
350	0.3456524213
351	0.3451251666
352	0.3445845922
353	0.3443980217
354	0.3440885862
355	0.3435989698
356	0.3431619008
357	0.3428902944
358	0.342733256
359	0.3423885981
360	0.3421293894
361	0.3418706576
362	0.3415566127
363	0.3411570867
364	0.3407530785
365	0.3403675397
366	0.339994971
367	0.3397402445
368	0.3392812093
369	0.3387774785
370	0.3384111404
371	0.337779808
372	0.3374623299
373	0.3371586482
374	0.3367468516
375	0.3362511953
376	0.3361002286
377	0.335771815
378	0.3353599548
379	0.3348058383
380	0.3345456441
381	0.3343095779
382	0.3341056824
383	0.3338741302
384	0.333631134
385	0.3333327611
386	0.333009243
387	0.3325837135
388	0.3322729111
389	0.332004865
390	0.3316336314
391	0.3314156532
392	0.3310754776
393	0.3306574504
394	0.3303742727
395	0.3299981117
396	0.3294341405
397	0.3289308548
398	0.3283977191
399	0.3283257167
400	0.3282166163
401	0.3276441892
402	0.3272616386
403	0.3270242055
404	0.326540788
405	0.3262696584
406	0.3258354823
407	0.3255595525
408	0.3253318787
409	0.3249772708
410	0.3245685895
411	0.3242720604
412	0.3240000407
413	0.3236641248
414	0.3236015956
415	0.3233712196
416	0.323033905
417	0.322711881
418	0.3223583221
419	0.322023646
420	0.3217167854
421	0.3215261459
422	0.3212750753
423	0.3209126155
424	0.3206793467
425	0.32030557
426	0.3199248632
427	0.3193232218
428	0.3191609065
429	0.3186682701
430	0.3184598923
431	0.3184174538
432	0.318154335
433	0.3178947449
434	0.3174734433
435	0.31722037
436	0.3171638171
437	0.3168513616
438	0.3163275083
439	0.315990003
440	0.3157453537
441	0.3154070536
442	0.3149435997
443	0.3145428975
444	0.3142702738
445	0.3139755567
446	0.3135958354
447	0.3133231481
448	0.3131913503
449	0.3129225095
450	0.3125516256
451	0.3122865041
452	0.3120516459
453	0.3117819468
454	0.3113129298
455	0.3109818141
456	0.310585467
457	0.3102008184
458	0.3099140167
459	0.3097681046
460	0.3093702634
461	0.3091592789
462	0.3089377721
463	0.3084048589
464	0.3080604553
465	0.3077508291
466	0.3073269208
467	0.3071244558
468	0.3067956607
469	0.306622378
470	0.3062316259
471	0.3059341113
472	0.3057249069
473	0.3055169106
474	0.305290095
475	0.3050202688
476	0.3047605197
477	0.3044168472
478	0.3043834686
479	0.3041845957
480	0.3040740013
481	0.3038354238
482	0.3037774404
483	0.3033790906
484	0.3028942426
485	0.3024429957
486	0.3022593816
487	0.3016981125
488	0.3013299942
489	0.3012013753
490	0.3010625521
491	0.3008926074
492	0.3006456375
493	0.3003630638
494	0.3001818021
495	0.299859333
496	0.2995798747
497	0.2992600441
498	0.2990876198
499	0.2986855189
500	0.2985452652
501	0.2984532674
502	0.2981886228
503	0.2978570938
504	0.2977438927
505	0.2975391706
506	0.2973938624
507	0.2970675151
508	0.2969384511
509	0.2967095693
510	0.2965100606
511	0.2962306023
512	0.295714887
513	0.2955105464
514	0.2951478958
515	0.2948682785
516	0.294626236
517	0.2945079168
518	0.2941761971
519	0.2941429138
520	0.2935888926
521	0.2934542974
522	0.2932735125
523	0.2928678513
524	0.2925666173
525	0.2923849424
526	0.292181015
527	0.2919219971
528	0.2915266673
529	0.2913249969
530	0.2911064784
531	0.2909516652
532	0.2906733831
533	0.2905947367
534	0.2903692245
535	0.290106074
536	0.2898477554
537	0.289536794
538	0.2891968727
539	0.2889023781
540	0.2886417389
541	0.2884959539
542	0.2882115682
543	0.28785127
544	0.2875185649
545	0.2870885849
546	0.2868401845
547	0.2866430918
548	0.2865041097
549	0.2861269951
550	0.2859471639
551	0.2855323792
552	0.2854277929
553	0.2851682345
554	0.2850372314
555	0.2847808202
556	0.2847352028
557	0.2846811295
558	0.2844583193
559	0.2841379166
560	0.2839101791
561	0.2837120056
562	0.2834791819
563	0.2831029256
564	0.2826889674
565	0.2824532827
566	0.2824355443
567	0.2821895281
568	0.2819228172
569	0.2818593343
570	0.2812724431
571	0.2810530345
572	0.2808777809
573	0.2806401253
574	0.280224069
575	0.2801105499
576	0.2799131711
577	0.2797718366
578	0.2795974096
579	0.279379495
580	0.2792961438
581	0.279067262
582	0.2789257685
583	0.278726991
584	0.2786193848
585	0.2783344269
586	0.2780971527
587	0.2779070536
588	0.2775772731
589	0.2769928614
590	0.2768185933
591	0.2765748342
592	0.2763855616
593	0.2762233098
594	0.2759290059
595	0.2757063548
596	0.2754219691
597	0.2751567205
598	0.2749416669
599	0.2747115453
600	0.2745799383
601	0.2744768143
602	0.2742752075
603	0.2739760717
604	0.273887221
605	0.2737434069
606	0.2735465686
607	0.2733561198
608	0.2731803894
609	0.2729831696
610	0.2726215363
611	0.2723788897
612	0.2721586227
613	0.271898524
614	0.2717944781
615	0.2715763092
616	0.2714206378
617	0.2713004748
618	0.27111063
619	0.2706702868
620	0.2703604698
621	0.2702074687
622	0.2700410525
623	0.2697920481
624	0.2696320852
625	0.2694937388
626	0.2692155838
627	0.2691176732
628	0.2689093908
629	0.2688494047
630	0.2686769485
631	0.2683879852
632	0.2682232221
633	0.2679879189
634	0.2678289096
635	0.2676343918
636	0.2674206098
637	0.2672420184
638	0.2671180407
639	0.2669348717
640	0.2667387644
641	0.2664546649
642	0.2662583987
643	0.2660123189
644	0.265792052
645	0.2655827522
646	0.2654474576
647	0.2651446025
648	0.2650233269
649	0.2648249626
650	0.2647266229
651	0.2645364126
652	0.2641513666
653	0.2638359388
654	0.2636273066
655	0.2633148829
656	0.263037173
657	0.2628736178
658	0.2627554735
659	0.2624799093
660	0.2620821635
661	0.2618724664
662	0.2616367022
663	0.2615302086
664	0.2612860044
665	0.2609221141
666	0.2605343501
667	0.260251077
668	0.2600872676
669	0.2599127452
670	0.2596910477
671	0.2596023401
672	0.2595361074
673	0.2593387445
674	0.2590441545
675	0.2588426908
676	0.2586658478
677	0.2584869067
678	0.2584453265
679	0.2582679749
680	0.258112367
681	0.2577897708
682	0.2575596968
683	0.2572058678
684	0.2571024895
685	0.2568798701
686	0.2564569473
687	0.2562906742
688	0.2561708609
689	0.2560071627
690	0.2557455699
691	0.2554640929
692	0.2552962144
693	0.2549996376
694	0.2546555837
695	0.2544981003
696	0.2542270343
697	0.2541986942
698	0.2541339397
699	0.254034392
700	0.2537780921
701	0.2535847982
702	0.2532153765
703	0.2530704339
704	0.2527654489
705	0.252461942
706	0.2522467931
707	0.2519471804
708	0.2518459479
709	0.2516535123
710	0.2514161428
711	0.2513024171
712	0.2511298021
713	0.2509741465
714	0.250851059
715	0.2506663005
716	0.2506036441
717	0.2504172961
718	0.2503378868
719	0.2500981331
720	0.2499820073
721	0.2498209318
722	0.2497194449
723	0.2493503571
724	0.2490894636
725	0.2489720503
726	0.2489565849
727	0.2489008268
728	0.2486968358
729	0.2486274401
730	0.2484010379
731	0.2481495539
732	0.2479718049
733	0.2476490974
734	0.2473141034
735	0.2471758842
736	0.2470630964
737	0.2467178027
738	0.2466053327
739	0.2462608337
740	0.2461183707
741	0.2459385554
742	0.2457089901
743	0.2454161008
744	0.2452964306
745	0.2449789365
746	0.2446215947
747	0.2444891612
748	0.2441969554
749	0.2439793746
750	0.2438417117
751	0.2437102636
752	0.2432347933
753	0.242990303
754	0.2428925514
755	0.2428448041
756	0.2427375952
757	0.2423319181
758	0.2421663443
759	0.2419993083
760	0.2418750127
761	0.241628774
762	0.2415022532
763	0.2414054076
764	0.2412485758
765	0.2411218325
766	0.2408648173
767	0.2405853907
768	0.2402183056
769	0.2400178432
770	0.2398688634
771	0.2396531105
772	0.2395761172
773	0.2393437068
774	0.2388071696
775	0.2385763963
776	0.2384513378
777	0.2381881078
778	0.2379896482
779	0.2376833121
780	0.2374908606
781	0.2371763865
782	0.236910979
783	0.2366130988
784	0.2364310424
785	0.2362921397
786	0.2362600644
787	0.2360072136
788	0.2356946786
789	0.2352821032
790	0.234833018
791	0.234719944
792	0.2345793406
793	0.2344282468
794	0.2343255361
795	0.2341096242
796	0.2338901838
797	0.2338314374
798	0.2337256749
799	0.2334978104
800	0.2334319433
801	0.2331844966
802	0.2330255349
803	0.2328027089
804	0.2326456547
805	0.2325938702
806	0.2322590828
807	0.2321404139
808	0.2319246769
809	0.2317683538
810	0.2315780799
811	0.2314613819
812	0.2311140378
813	0.2309924761
814	0.2308155855
815	0.2304732958
816	0.2301604907
817	0.2297989845
818	0.2295159976
819	0.229242293
820	0.2290278276
821	0.2287996928
822	0.2286849181
823	0.2283059597
824	0.2280653
825	0.2279715061
826	0.2278845628
827	0.2277169863
828	0.2276133537
829	0.2273735046
830	0.2272416751
831	0.2271817366
832	0.2270019213
833	0.2268946012
834	0.2267398675
835	0.2265333176
836	0.2263747215
837	0.2262518247
838	0.2261562665
839	0.225956885
840	0.2257882913
841	0.2255716642
842	0.2252140999
843	0.2250253677
844	0.2248735428
845	0.2245176633
846	0.2243700981
847	0.2241845449
848	0.224071312
849	0.2238856316
850	0.2236546516
851	0.2235679309
852	0.2233762582
853	0.2233146032
854	0.2231126308
855	0.2227904956
856	0.2225310644
857	0.2223417282
858	0.2222068787
859	0.2220511119
860	0.2219483693
861	0.2218051593
862	0.2217652957
863	0.2214011669
864	0.2212727547
865	0.2211539268
866	0.2209634463
867	0.2208668073
868	0.2206586202
869	0.2204587301
870	0.2203291257
871	0.219983228
872	0.2198815664
873	0.21979901
874	0.2195588748
875	0.2194844246
876	0.2191893737
877	0.2190395196
878	0.2188950539
879	0.2187029362
880	0.2183356126
881	0.2180850824
882	0.218000253
883	0.2178665479
884	0.2177848021
885	0.2174143632
886	0.2170253754
887	0.2168850263
888	0.2167444706
889	0.2167332331
890	0.2164590836
891	0.2162195683
892	0.216099898
893	0.2160305182
894	0.2156346957
895	0.2155440013
896	0.215457503
897	0.2153261026
898	0.2150528113
899	0.2149490356
900	0.2148012638
901	0.2146598657
902	0.2144834518
903	0.2143080393
904	0.2142604192
905	0.2140837669
906	0.213966767
907	0.213809967
908	0.2136355877
909	0.2131264051
910	0.2129532655
911	0.2128406207
912	0.212699906
913	0.2126086553
914	0.2124407927
915	0.2122260412
916	0.2121350447
917	0.2120136579
918	0.211705939
919	0.2115166028
920	0.2114366849
921	0.2113151232
922	0.211128966
923	0.2109465758
924	0.2108890851
925	0.2108021736
926	0.2106302738
927	0.2102602005
928	0.2101691882
929	0.2100008965
930	0.209740448
931	0.2094905376
932	0.2093584696
933	0.2091105779
934	0.2089075406
935	0.2086606979
936	0.2084644636
937	0.2082273006
938	0.2081118266
939	0.2079147021
940	0.2077666918
941	0.207493337
942	0.2074621201
943	0.2073548317
944	0.2069262346
945	0.20679245
946	0.2065547148
947	0.2065008005
948	0.2064684232
949	0.2062065442
950	0.2059209188
951	0.2055452029
952	0.2054335594
953	0.2053487937
954	0.2051756064
955	0.2051222483
956	0.2048528353
957	0.2046545664
958	0.2045865695
959	0.2043978214
960	0.2040568034
961	0.2039137204
962	0.2037751834
963	0.2034600894
964	0.203276666
965	0.202925396
966	0.202792263
967	0.2026438554
968	0.2024801254
969	0.2023904483
970	0.2021163464
971	0.2019411564
972	0.2016883532
973	0.2015924295
974	0.2012216568
975	0.200998052
976	0.200776577
977	0.2003540993
978	0.2002144178
979	0.2001065572
980	0.1999224186
981	0.1997092883
982	0.1995124181
983	0.1993243853
984	0.1992027601
985	0.1989925067
986	0.198911349
987	0.1988139629
988	0.1986731529
989	0.1985250473
990	0.1983089606
991	0.1979866346
992	0.1978121122
993	0.1977381547
994	0.197525533
995	0.1974048297
996	0.1970866203
997	0.1968876521
998	0.1967224757
999	0.1965714455
1101
1295
4
